seq,id_tipo_contato,id_pessoa,valor,principal
0,3,1,raquel66@example.org,True
1,2,1,+55 11 1641 4376,False
2,3,2,dfernandes@example.com,True
3,2,2,41 2239-3804,False
4,3,3,dmelo@example.com,True
5,2,3,+55 (011) 1613-8404,False
6,3,4,amanda55@example.net,True
7,2,4,21 1413-8038,False
8,3,5,da-luznoah@example.org,True
9,2,5,(081) 7651 5503,False
10,3,6,luiginovaes@example.net,True
11,2,6,71 9400 0133,False
12,3,7,nmartins@example.com,True
13,2,7,+55 41 2817 7329,False
14,3,8,helenasales@example.com,True
15,2,8,+55 (061) 8226 0155,False
16,3,9,isabelly42@example.net,True
17,2,9,84 5093-6970,False
18,3,10,vda-rocha@example.org,True
19,2,10,(031) 2787-0859,False
20,3,11,joao-guilherme84@example.org,True
21,2,11,+55 21 7044-9987,False
22,3,2,da-pazalexandre@example.org,True
23,2,12,0500 881 3395,False
24,3,13,rcardoso@example.com,True
25,2,3,(071) 4777 3347,False
26,3,14,acunha@example.org,True
27,2,14,+55 (081) 9728 7311,False
28,3,15,lorenzo91@example.com,True
29,2,15,51 8902 1275,False
30,3,16,bduarte@example.com,True
31,2,16,(011) 5338 3824,False
32,3,17,stella71@example.org,True
33,2,17,+55 61 1058-5067,False
34,3,18,peixotoana-beatriz@example.com,True
35,2,18,(011) 1255-1958,False
36,3,19,caroline01@example.com,True
37,2,19,61 0114 1882,False
38,3,20,alexia41@example.net,True
39,2,20,(061) 4110 9004,False
40,3,21,vsales@example.com,True
41,2,21,(041) 1556-3805,False
42,3,22,diegomonteiro@example.com,True
43,2,22,+55 (084) 7443 7330,False
44,3,23,yasminfreitas@example.com,True
45,2,23,(084) 0023 5557,False
46,3,24,ramosnicolas@example.com,True
47,2,24,(041) 1075-7015,False
48,3,25,marcela30@example.org,True
49,2,25,(071) 3072 7821,False
50,3,26,jcardoso@example.com,True
51,2,26,+55 (041) 3965 6999,False
52,3,27,sophie64@example.net,True
53,2,27,+55 81 3698 1403,False
54,3,28,pcunha@example.com,True
55,2,28,(051) 9576 4892,False
56,3,29,lsouza@example.com,True
57,2,29,+55 (051) 9940 3883,False
58,3,30,juliacardoso@example.net,True
59,2,30,(071) 5287-2557,False
60,3,31,brunoda-cunha@example.com,True
61,2,31,(031) 9030 1839,False
62,3,32,hramos@example.com,True
63,2,32,+55 21 4541-0800,False
64,3,33,vicente93@example.com,True
65,2,33,61 6813 8074,False
66,3,34,hferreira@example.net,True
67,2,34,0300-649-4293,False
68,3,35,ida-costa@example.net,True
69,2,35,51 0883 2735,False
70,3,36,luizamoraes@example.org,True
71,2,36,+55 51 2995 2528,False
72,3,37,da-pazrebeca@example.net,True
73,2,37,+55 (084) 9972 2754,False
74,3,38,costelamelissa@example.net,True
75,2,38,0900-260-1742,False
76,3,39,martinsluigi@example.org,True
77,2,39,61 8629 7758,False
78,3,40,wjesus@example.net,True
79,2,40,0800 261 9541,False
80,3,41,enzorocha@example.org,True
81,2,41,51 4721 3351,False
82,3,42,ccostela@example.org,True
83,2,42,+55 (061) 0263 1149,False
84,3,43,qteixeira@example.net,True
85,2,43,(071) 2576-2513,False
86,3,44,costelasofia@example.org,True
87,2,44,+55 51 5189 0624,False
88,3,45,vitor-gabrielmendes@example.org,True
89,2,45,+55 (084) 2556 3025,False
90,3,46,vnunes@example.com,True
91,2,46,51 4341 5692,False
92,3,47,calebe89@example.net,True
93,2,47,0500 902 3752,False
94,3,48,bryan16@example.net,True
95,2,48,0500 828 7151,False
96,3,49,luccavieira@example.org,True
97,2,49,84 6402 1338,False
98,3,50,da-pazrodrigo@example.org,True
99,2,50,0800 542 2450,False
100,3,51,gbarbosa@example.com,True
101,2,51,(011) 0849-7212,False
102,3,52,thomas25@example.org,True
103,2,52,0800-123-9966,False
104,3,53,paulo69@example.net,True
105,2,53,(041) 4029-0833,False
106,3,54,enzo-gabrielda-mota@example.net,True
107,2,54,+55 (031) 5759-4795,False
108,3,55,murilomoura@example.com,True
109,2,55,+55 61 5535 2759,False
110,3,56,ida-costa@example.net,True
111,2,56,0800-330-1564,False
112,3,57,xrezende@example.com,True
113,2,57,0300-056-8091,False
114,3,58,emanuelly06@example.com,True
115,2,58,(084) 7469 1494,False
116,3,59,hcampos@example.org,True
117,2,59,(071) 7083 9088,False
118,3,60,sarahda-cunha@example.org,True
119,2,60,81 5689 2768,False
120,3,61,csouza@example.com,True
121,2,61,+55 61 5949-7851,False
122,3,62,luiz-henrique78@example.com,True
123,2,62,51 4574 0349,False
124,3,63,luiz-otavio60@example.net,True
125,2,63,(071) 3706 4105,False
126,3,64,mourabruna@example.com,True
127,2,64,+55 (061) 8849-5501,False
128,3,65,enricodas-neves@example.net,True
129,2,65,0900-617-4930,False
130,3,66,tsantos@example.net,True
131,2,66,+55 31 4967 0404,False
132,3,67,tda-conceicao@example.net,True
133,2,67,(041) 7348-2551,False
134,3,68,llopes@example.net,True
135,2,68,0800 125 2995,False
136,3,69,matheus42@example.com,True
137,2,69,31 6247 8445,False
138,3,70,agatharezende@example.com,True
139,2,70,21 0814 7115,False
140,3,71,nnascimento@example.com,True
141,2,71,81 2636 0751,False
142,3,72,fgoncalves@example.com,True
143,2,72,(061) 0928-3746,False
144,3,73,eviana@example.net,True
145,2,73,(021) 7505-9669,False
146,3,74,knogueira@example.org,True
147,2,74,+55 (021) 1324 1009,False
148,3,75,cauasilveira@example.net,True
149,2,75,0500-484-7730,False
150,3,76,benjaminsales@example.org,True
151,2,76,+55 84 6681-0516,False
152,3,77,heloisajesus@example.net,True
153,2,77,+55 (071) 2876-6834,False
154,3,78,maria-cecilia44@example.com,True
155,2,78,+55 61 5711 0414,False
156,3,79,renan80@example.org,True
157,2,79,+55 (084) 8575-4207,False
158,3,80,da-rochamaria-sophia@example.com,True
159,2,80,+55 (084) 6618-0748,False
160,3,81,uaraujo@example.net,True
161,2,81,+55 31 2591 4025,False
162,3,82,cda-rosa@example.org,True
163,2,82,84 1042-2457,False
164,3,83,upereira@example.com,True
165,2,83,+55 (021) 1683 6030,False
166,3,84,uduarte@example.net,True
167,2,84,21 2789 7405,False
168,3,85,bryan25@example.net,True
169,2,85,+55 (041) 3463 8356,False
170,3,86,rafaela47@example.net,True
171,2,86,+55 (084) 7757-4538,False
172,3,87,luccajesus@example.net,True
173,2,87,84 6390-9681,False
174,3,88,levipereira@example.net,True
175,2,88,+55 61 2414-1471,False
176,3,89,valentina09@example.org,True
177,2,89,31 8268-1068,False
178,3,90,imonteiro@example.net,True
179,2,90,+55 (021) 3303-9054,False
180,3,91,luiz-henrique68@example.org,True
181,2,91,+55 31 0389-6027,False
182,3,92,da-rosayuri@example.net,True
183,2,92,0800 570 4100,False
184,3,93,carlos-eduardoporto@example.org,True
185,2,93,31 2739 4761,False
186,3,94,maria-alicecunha@example.net,True
187,2,94,(071) 4981 4274,False
188,3,95,franciscogoncalves@example.net,True
189,2,95,+55 (071) 9420-9354,False
190,3,96,levi48@example.org,True
191,2,96,31 4447-5485,False
192,3,97,juliaribeiro@example.net,True
193,2,97,11 7972-0071,False
194,3,98,nathanmendes@example.net,True
195,2,98,+55 (011) 6783-2060,False
196,3,99,almeidaagatha@example.org,True
197,2,99,21 8803 7298,False
198,3,100,uda-cruz@example.net,True
199,2,100,11 7399-2698,False
200,3,101,jviana@example.com,True
201,2,101,(031) 4073 8017,False
202,3,102,oliveiramaria-alice@example.net,True
203,2,102,+55 (011) 3579-1265,False
204,3,103,larissaramos@example.net,True
205,2,103,+55 84 8118 3021,False
206,3,104,ida-costa@example.org,True
207,2,104,81 3684 5039,False
208,3,105,lcardoso@example.org,True
209,2,105,+55 51 0161 8127,False
210,3,106,luiz-otaviofarias@example.com,True
211,2,106,+55 (071) 9670 7363,False
212,3,107,paraujo@example.net,True
213,2,107,+55 (081) 5260-2803,False
214,3,108,ribeiroagatha@example.com,True
215,2,108,81 9149-4958,False
216,3,109,danielaramos@example.com,True
217,2,109,(021) 1379-0292,False
218,3,110,lfreitas@example.com,True
219,2,110,0300 249 5096,False
220,3,111,ymoreira@example.org,True
221,2,111,0300 774 7652,False
222,3,112,danilosantos@example.com,True
223,2,112,+55 31 7699-3642,False
224,3,113,maria-clara50@example.com,True
225,2,113,+55 (021) 2836 1525,False
226,3,114,nogueirathomas@example.net,True
227,2,114,41 9591-5906,False
228,3,115,pintonatalia@example.org,True
229,2,115,84 1333 4962,False
230,3,116,joanaporto@example.com,True
231,2,116,(084) 9962-6522,False
232,3,117,luanacostela@example.net,True
233,2,117,+55 81 4853 8112,False
234,3,118,joao-miguelteixeira@example.com,True
235,2,118,61 6639-9843,False
236,3,119,da-rochacalebe@example.net,True
237,2,119,21 6075 5240,False
238,3,120,alexandre64@example.org,True
239,2,120,84 3980 7821,False
240,3,121,fcunha@example.com,True
241,2,121,11 7750-8624,False
242,3,122,cecilia38@example.net,True
243,2,122,+55 31 1811 6507,False
244,3,123,agomes@example.net,True
245,2,123,+55 71 7110 6644,False
246,3,124,fogacaisabella@example.net,True
247,2,124,+55 84 8631-8911,False
248,3,125,meloisabelly@example.com,True
249,2,125,(011) 7783 1801,False
250,3,126,alanamonteiro@example.com,True
251,2,126,+55 (061) 2199 8266,False
252,3,127,pirescarlos-eduardo@example.com,True
253,2,127,+55 (021) 4096-7332,False
254,3,128,gomesthales@example.com,True
255,2,128,+55 41 2173-3966,False
256,3,129,rocharyan@example.net,True
257,2,129,(081) 0677-7502,False
258,3,130,kaique76@example.com,True
259,2,130,(071) 0050 7183,False
260,3,131,maria-vitoria46@example.net,True
261,2,131,0300 787 4670,False
262,3,132,fda-conceicao@example.org,True
263,2,132,+55 (041) 0825-2890,False
264,3,133,olivia02@example.org,True
265,2,133,+55 51 2206 5906,False
266,3,134,isabella86@example.net,True
267,2,134,61 9745 0953,False
268,3,135,gabrielramos@example.com,True
269,2,135,+55 (081) 4197-0544,False
270,3,136,lda-luz@example.net,True
271,2,136,+55 61 8147-3977,False
272,3,137,bryanalves@example.com,True
273,2,137,+55 51 7872 8150,False
274,3,138,camila36@example.com,True
275,2,138,81 4604-6247,False
276,3,139,pedro-miguelcavalcanti@example.net,True
277,2,139,84 4547 2442,False
278,3,140,fogacavitor@example.org,True
279,2,140,(061) 4809-6387,False
280,3,141,cda-cruz@example.net,True
281,2,141,+55 (084) 1557-2515,False
282,3,142,manuelada-mota@example.org,True
283,2,142,(071) 2827-5679,False
284,3,143,amoraes@example.org,True
285,2,143,+55 (084) 6048-3592,False
286,3,144,rodrigo38@example.org,True
287,2,144,+55 (041) 3702 6086,False
288,3,145,renanda-costa@example.com,True
289,2,145,+55 21 2000-3869,False
290,3,146,brodrigues@example.org,True
291,2,146,51 5052 7914,False
292,3,147,aliciada-mota@example.com,True
293,2,147,51 0088 2267,False
294,3,148,arthurbarros@example.com,True
295,2,148,+55 (041) 1460 0834,False
296,3,149,lais68@example.com,True
297,2,149,(041) 6224 4323,False
298,3,150,xmoura@example.net,True
299,2,150,+55 11 8827-2718,False
300,3,151,silvapedro-henrique@example.org,True
301,2,151,+55 (071) 6626-3533,False
302,3,152,da-mataemanuelly@example.org,True
303,2,152,+55 (051) 1103-1781,False
304,3,153,nicolas06@example.com,True
305,2,153,+55 71 7784 0630,False
306,3,154,erick00@example.com,True
307,2,154,+55 (081) 3094-2389,False
308,3,155,daniel50@example.net,True
309,2,155,(021) 4928 4855,False
310,3,156,cavalcantilavinia@example.com,True
311,2,156,+55 (071) 9825 4458,False
312,3,157,wviana@example.com,True
313,2,157,+55 (081) 6872-5385,False
314,3,158,thaleslima@example.com,True
315,2,158,+55 71 1508 1140,False
