"numero","data_venda","total","id_cliente","forma_pgto","nome","sexo","email","cpf"
1000,"2015-03-25",2200.0,811,"Cartão Visa 3 vezes","SILVIO BAHIANA","M","SBAHIANA@TERA.COM","17121713217"
1010,"2015-03-07",1005.0,297,"Cartão Dinners 4 vezes","SERGIO AGUDO","M","SAGUDO@TERA.COM","67574832200"
1020,"2015-01-03",2500.0,629,"Cartão Master 3 vezes","TERESA CRISTINA","F","TCRISTINA@TERA.COM","77566453246"
1030,"2015-07-21",180.0,212,"Depósito - Vista","TERESA CRISTINA","F","TCRISTINA@TERA.COM","77566453246"
1040,"2015-07-04",11700.0,584,"Cartão Visa 2 vezes","RENATA MONTEIRO","F","RMONT@TERA.COM","31220641383"
1050,"2015-07-03",1300.0,552,"Cartão Dinners 3 vezes","RODRIGO MARQUES","M","EMACHADO@TERA.COM","58722542701"
1060,"2015-11-09",930.0,110,"Cartão Visa 2 vezes","FABIO AUGUSTO","M","FAUGUSTO@TERA.COM","38751582457"
1070,"2015-04-12",5200.0,348,"Cartão Master 4 vezes","MARCELO WITEMBERG","M","MWITEMBERG@TERA.COM","74148010478"
1080,"2015-09-13",145.0,912,"Cartão Master 3 vezes","JOAO NUNES","M","JNUNES@TERA.COM","84566326195"
1090,"2015-12-16",145.0,283,"Cartão Master 3 vezes","LILIAN SALINAS","F","LSALINAS@TERA.COM","31265815445"
1100,"2015-05-17",980.0,665,"Cartão Visa - Vencimento","CARLOS SENRA","M","CSENRA@TERA.COM","20396875564"
1110,"2015-06-20",1400.0,290,"Cartão American 5 vezes","RENATA MONTEIRO","F","RMONT@TERA.COM","31220641383"
1120,"2015-10-05",350.0,700,"Cartão Visa - Vencimento","CLARA MAFRA","F","CMAFRA@TERA.COM","94877845780"
1130,"2015-02-26",11200.0,976,"Cartão Master 4 vezes","PILAR SANCHES","F","PSANCHES@TERA.COM","68637474640"
1140,"2015-08-10",9550.0,452,"Tranferência - Vista","SILVIO BAHIANA","M","SBAHIANA@TERA.COM","17121713217"
1150,"2015-03-05",12564.0,498,"Cartão Master - Vencimento","CARLOS SENRA","M","CSENRA@TERA.COM","20396875564"
1160,"2015-08-14",3800.0,335,"Pag Seguro Web - Vista","RENATA MONTEIRO","F","RMONT@TERA.COM","31220641383"
