1;EDUARDO SANTOS;M;ESANTOS.MANAGER@TERA.COM;NULL
2;RENATA MONTEIRO;F;RMONT@TERA.COM;1
3;JOAO NUNES;M;JNUNES@TERA.COM;1
4;CLARA MAFRA;F;CMAFRA@TERA.COM;1
5;GERALDO FRANCISCO;M;GFRANCISCO@TERA.COM;1
6;RODRIGO BIO;M;RBIO@TERA.COM;1
7;SERGIO AGUDO;M;SAGUDO@TERA.COM;1
8;PILAR SANCHES;F;PSANCHES@TERA.COM;1
9;MARCELO WITEMBERG;M;MWITEMBERG@TERA.COM;1
10;LILIAN SALINAS;F;LSALINAS@TERA.COM;NULL
11;RAFAELA LIMA;F;RLIMA@TERA.COM;10
12;CELIA TAVARES;F;CTAVARES@TERA.COM;10
13;HERMES MACEDO;M;HMACEDO@TERA.COM;10
14;SILVIO BAHIANA;M;SBAHIANA@TERA.COM;10
15;DEBORA ALMEIDA;F;DALMEIDA@TERA.COM;10
16;DAVID BORGES;M;DBORGES@TERA.COM;NULL
17;TERESA CRISTINA;F;TCRISTINA@TERA.COM;15
18;RODRIGO MARQUES;M;EMACHADO@TERA.COM;15
19;CARLOS SENRA;M;CSENRA@TERA.COM;16
20;FABIO AUGUSTO;M;FAUGUSTO@TERA.COM;16
21;WALLACE MOREIRA;M;WMOREIRA@TERA.COM;16
22;RENE CHIARI;M;RCHIARI@TERA.COM;16
23;ANTONIO JESUS;M;AJESUS@TERA.COM;16
24;PEDRO NUNES;M;PNUNES@TERA.COM;16
